url	name	num_tracks	duration	owner	likes	num_reposts	tag	posted_on
https://soundcloud.com/chinobreezy/sets/edm	edm	348	51:34:53	Chinobreezy	12	1	Tiesto	2 July 2013
https://soundcloud.com/conor-haenni/sets/edm	EDM	371	29:01:05	Conor Haenni	3	2	Electronic	17 December 2015
https://soundcloud.com/theo-krause-1/sets/house	EDM	379	1:01:14	Theo Krause	2	0	All EDM	15 March 2016
https://soundcloud.com/gabriel-forget-lalonde/sets/edm	EDM	329	20:02:52	AMRLL	6	1	Electronic	8 April 2015
https://soundcloud.com/gloriousteatime/sets/house	★ ◈ EDM ◈ ★	360	24:04:22	TeaTime	29	4	House	28 April 2016
https://soundcloud.com/michelle-ys-kim/sets/club	EDM	295	31:44:14	Michelle Ys Kim	8	2	Electronic	13 March 2014
https://soundcloud.com/chaustersaur/sets/edm	EDM	364	23:33:30	Peter	4	1	Electronic	22 December 2015
https://soundcloud.com/skullofninja/sets/edm	EDM	353	57:10	SkullOfNinja	2	0	Electronic	5 April 2015
https://soundcloud.com/florian-schaunik/sets/edm	EDM	362	28:50:55	Florian Schaunik	1	0	Electronic	30 November 2015
https://soundcloud.com/ping-tram/sets/edm	EDM	357	20:39:07	Ping Tram	0	0	Edm	28 April 2018
https://soundcloud.com/leobul/sets/edm	EDM	199	4:49:52	LeoBul	5	1	Electronic	15 September 2013
https://soundcloud.com/motion2music/sets/edm	EDM	342	22:51:31	Tristan	1	0	Electronic	21 February 2019
https://soundcloud.com/aarklein/sets/vocal-edm	EDM	299	23:00:44	aark	21	1	Electronic	7 November 2014
